Year,Month,Day,Variable,eco1,eco2
2016,5,29,PAR,731.2915456,1462.583091
2016,5,30,PAR,739.3464268,1478.692854
2016,5,31,PAR,668.3941189,1336.788238
2016,6,1,PAR,354.2799484,708.5598968
2016,6,2,PAR,297.4166756,594.8333512
2016,6,3,PAR,623.5201897,1247.040379
2016,6,4,PAR,780.7653961,1561.530792
2016,6,5,PAR,810.8603575,1621.720715
2016,6,6,PAR,257.7555198,515.5110396
2016,6,7,PAR,739.3114877,1478.622975
2016,6,8,PAR,651.6416407,1303.283281
2016,6,9,PAR,228.7622728,457.5245456
2016,6,10,PAR,478.3501431,956.7002862
2016,6,11,PAR,318.0168006,636.0336012
2016,6,12,PAR,101.9924552,203.9849104
2016,6,13,PAR,181.9595984,363.9191968
2016,6,14,PAR,122.9521083,245.9042166
2016,6,15,PAR,672.4920057,1344.984011
2016,6,16,PAR,749.4316835,1498.863367
2016,6,17,PAR,683.3701662,1366.740332
2016,6,18,PAR,434.4025848,868.8051696
2016,6,19,PAR,789.4241333,1578.848267
2016,6,20,PAR,817.9815866,1635.963173
2016,6,21,PAR,736.5665851,1473.13317
2016,6,22,PAR,134.1945633,268.3891266
2016,6,23,PAR,716.6565377,1433.313075
2016,6,24,PAR,668.6437181,1337.287436
2016,6,25,PAR,702.9013533,1405.802707
2016,6,26,PAR,505.6968428,1011.393686
2016,6,27,PAR,651.1578868,1302.315774
2016,6,28,PAR,549.3625017,1098.725003
2016,6,29,PAR,830.1278687,1660.255737
2016,6,30,PAR,754.9732489,1509.946498
2016,7,1,PAR,408.5220384,817.0440768
2016,7,2,PAR,595.5402506,1191.080501
2016,7,3,PAR,682.3289494,1364.657899
2016,7,4,PAR,695.7347106,1391.469421
2016,7,5,PAR,780.7761908,1561.552382
2016,7,6,PAR,562.8404908,1125.680982
2016,7,7,PAR,262.2357954,524.4715908
2016,7,8,PAR,632.2959259,1264.591852
2016,7,9,PAR,678.5436135,1357.087227
2016,7,10,PAR,594.5652869,1189.130574
2016,7,11,PAR,554.0693867,1108.138773
2016,7,12,PAR,691.4983331,1382.996666
2016,7,13,PAR,699.1688308,1398.337662
2016,7,14,PAR,503.1958175,1006.391635
2016,7,15,PAR,524.4279232,1048.855846
2016,7,16,PAR,637.2382971,1274.476594
2016,7,17,PAR,685.3694919,1370.738984
2016,7,18,PAR,310.2053528,620.4107056
2016,7,19,PAR,469.8130202,939.6260404
2016,7,20,PAR,624.1641178,1248.328236
2016,7,21,PAR,560.5954619,1121.190924
2016,7,22,PAR,801.3209498,1602.6419
2016,7,23,PAR,800.065142,1600.130284
2016,7,24,PAR,827.5808506,1655.161701
2016,7,25,PAR,820.1407602,1640.28152
2016,7,26,PAR,810.801498,1621.602996
2016,7,27,PAR,796.1933243,1592.386649
2016,7,28,PAR,750.8505004,1501.701001
2016,7,29,PAR,758.3863888,1516.772778
2016,7,30,PAR,606.8182871,1213.636574
2016,7,31,PAR,691.5977719,1383.195544
2016,8,1,PAR,713.484411,1426.968822
2016,8,2,PAR,622.7646747,1245.529349
2016,8,3,PAR,444.4643302,888.9286604
2016,8,4,PAR,759.6830382,1519.366076
2016,8,5,PAR,758.5542524,1517.108505
2016,8,6,PAR,758.8681792,1517.736358
2016,8,7,PAR,739.4870551,1478.97411
2016,8,8,PAR,703.1016112,1406.203222
2016,8,9,PAR,461.7115211,923.4230422
2016,8,10,PAR,271.6489061,543.2978122
2016,8,11,PAR,347.2106245,694.421249
2016,8,12,PAR,692.5998324,1385.199665
2016,8,13,PAR,690.1034532,1380.206906
2016,8,14,PAR,673.2902442,1346.580488
2016,8,15,PAR,640.6071104,1281.214221
2016,8,16,PAR,317.9060791,635.8121582
2016,8,17,PAR,341.6375425,683.275085
2016,8,18,PAR,189.8431244,379.6862488
2016,8,19,PAR,534.1398287,1068.279657
2016,8,20,PAR,361.4618682,722.9237364
2016,8,21,PAR,433.1144109,866.2288218
2016,8,22,PAR,324.3648825,648.729765
2016,8,23,PAR,496.3573807,992.7147614
2016,8,24,PAR,391.0691972,782.1383944
2016,8,25,PAR,338.5022425,677.004485
2016,8,26,PAR,573.6557465,1147.311493
2016,8,27,PAR,563.3039782,1126.607956
2016,8,28,PAR,513.4903305,1026.980661
2016,8,29,PAR,491.8339374,983.6678748
2016,8,30,PAR,473.7247255,947.449451
2016,8,31,PAR,442.0399688,884.0799376
2016,9,1,PAR,552.1202191,1104.240438
2016,9,2,PAR,563.7950656,1127.590131
2016,9,3,PAR,583.0055344,1166.011069
2016,9,4,PAR,537.2195456,1074.439091
2016,9,5,PAR,618.3278901,1236.65578
2016,9,6,PAR,294.1271621,588.2543242
2016,9,7,PAR,594.0390271,1188.078054
2016,9,8,PAR,401.1507442,802.3014884
2016,9,9,PAR,577.6690146,1155.338029
2016,9,10,PAR,414.209072,828.418144
2016,9,11,PAR,562.0002062,1124.000412
2016,9,12,PAR,468.6990523,937.3981046
2016,9,13,PAR,517.4415565,1034.883113
2016,9,14,PAR,540.7011968,1081.402394
2016,9,15,PAR,444.1282384,888.2564768
2016,9,16,PAR,80.06720365,160.1344073
2016,9,17,PAR,392.9051101,785.8102202
2016,9,18,PAR,156.7994773,313.5989546
2016,9,19,PAR,304.169473,608.338946
2016,9,20,PAR,430.6367908,861.2735816
2016,9,21,PAR,339.6029956,679.2059912
2016,9,22,PAR,104.7853961,209.5707922
2016,9,23,PAR,376.8116307,753.6232614
2016,9,24,PAR,406.1876068,812.3752136
2016,9,25,PAR,391.9687942,783.9375884
2016,9,26,PAR,204.7781632,409.5563264
2016,9,27,PAR,355.1817442,710.3634884
2016,9,28,PAR,327.6163079,655.2326158
2016,9,29,PAR,225.2894594,450.5789188
2016,9,30,PAR,152.1726126,304.3452252
2016,10,1,PAR,193.5350837,387.0701674
2016,10,2,PAR,274.0503137,548.1006274
2016,10,3,PAR,269.8979576,539.7959152
2016,10,4,PAR,180.3452555,360.690511
2016,10,5,PAR,386.8574293,773.7148586
2016,10,6,PAR,350.7784472,701.5568944
2016,10,7,PAR,321.8895726,643.7791452
2016,10,8,PAR,342.498639,684.997278
2016,10,9,PAR,273.8385027,547.6770054
2016,10,10,PAR,331.1189905,662.237981
2016,10,11,PAR,373.469472,746.938944
2016,10,12,PAR,388.3059706,776.6119412
2016,10,13,PAR,235.4974246,470.9948492
2016,10,14,PAR,220.3449315,440.689863
2016,10,15,PAR,309.2154143,618.4308286
2016,10,16,PAR,167.8825748,335.7651496
2016,10,17,PAR,196.3082483,392.6164966
2016,10,18,PAR,336.6965683,673.3931366
2016,10,19,PAR,171.8071882,343.6143764
2016,10,20,PAR,187.06962,374.13924
2016,10,21,PAR,241.2330101,482.4660202
2016,10,22,PAR,223.8745684,447.7491368
2016,10,23,PAR,219.3962209,438.7924418
2016,10,24,PAR,238.5729652,477.1459304
2016,10,25,PAR,200.5288833,401.0577666
2016,10,26,PAR,239.1943303,478.3886606
2016,10,27,PAR,242.156704,484.313408
2016,10,28,PAR,209.054178,418.108356
2016,10,29,PAR,221.3370927,442.6741854
2016,10,30,PAR,160.9343488,321.8686976
2016,10,31,PAR,147.1369762,294.2739524
2016,11,1,PAR,188.5816401,377.1632802
2016,11,2,PAR,243.3976278,486.7952556
2016,11,3,PAR,203.448506,406.897012
2016,11,4,PAR,172.3307405,344.661481
2016,11,5,PAR,176.0970863,352.1941726
2016,11,6,PAR,115.7914027,231.5828054
2016,11,7,PAR,203.2461993,406.4923986
2016,11,8,PAR,134.943807,269.887614
2016,11,9,PAR,195.8085952,391.6171904
2016,11,10,PAR,231.3905388,462.7810776
2016,11,11,PAR,148.9197958,297.8395916
2016,11,12,PAR,230.4320749,460.8641498
2016,11,13,PAR,146.3197962,292.6395924
2016,11,14,PAR,147.402895,294.80579
2016,11,15,PAR,139.1145467,278.2290934
2016,11,16,PAR,189.8946763,379.7893526
2016,11,17,PAR,184.9591835,369.918367
2016,11,18,PAR,136.8152215,273.630443
2016,11,19,PAR,115.8111626,231.6223252
2016,11,20,PAR,110.168838,220.337676
2016,11,21,PAR,116.0949383,232.1898766
2016,11,22,PAR,98.53988569,197.0797714
2016,11,23,PAR,124.2632143,248.5264286
2016,11,24,PAR,107.5443644,215.0887288
